symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_3_months,moving_average_window_months,condition,screening_rule
GOOGL,,,2004-08-01,2.5,2.84,2.4,2.56,2672137188,,3,0,indicator > low
GOOGL,,,2004-09-01,2.57,3.38,2.48,3.24,4249913832,,3,0,indicator > low
GOOGL,-0.11060142711518862,0.12435530085959891,2004-10-01,3.27,5.0,3.23,4.77,10272433284,2.908333333333333,3,0,indicator > low
GOOGL,-0.18629476584022042,0.22894625476089722,2004-11-01,4.84,5.05,4.04,4.55,11092660236,3.938333333333333,3,0,indicator > low
GOOGL,-0.025641025641025748,0.02631578947368432,2004-12-01,4.55,5.0,4.22,4.82,5807878308,4.433333333333333,3,1,indicator > low
GOOGL,-0.029689608636977203,0.03059805285118235,2005-01-01,4.94,5.14,4.41,4.9,8198389404,4.793333333333333,3,1,indicator > low
GOOGL,-0.0051440329218107725,0.005170630816959743,2005-02-01,4.86,5.43,4.53,4.7,13011367608,4.835,3,1,indicator > low
GOOGL,0.015471167369901529,-0.015235457063711894,2005-03-01,4.74,4.75,4.32,4.52,6871082040,4.8133333333333335,3,1,indicator > low
GOOGL,0.025274725274725324,-0.024651661307609905,2005-04-01,4.55,5.62,4.5,5.51,9058576356,4.665,3,1,indicator > low
GOOGL,-0.08513189448441237,0.09305373525557,2005-05-01,5.56,6.97,5.51,6.94,10140601248,5.086666666666667,3,0,indicator > low
GOOGL,-0.13164080865068176,0.1515971846237142,2005-06-01,7.09,7.74,6.69,7.36,15544507932,6.156666666666666,3,0,indicator > low
GOOGL,-0.054200542005420106,0.05730659025787971,2005-07-01,7.38,7.95,7.18,7.2,8189766036,6.9799999999999995,3,0,indicator > low
GOOGL,0.005085529357374073,-0.005059797608095731,2005-08-01,7.21,7.5,6.84,7.16,5713157124,7.246666666666667,3,1,indicator > low
GOOGL,0.008158508158508068,-0.008092485549132857,2005-09-01,7.15,8.03,7.13,7.92,6799321872,7.208333333333333,3,1,indicator > low
GOOGL,-0.0433121019108279,0.04527296937416764,2005-10-01,7.85,9.38,7.27,9.31,7710781500,7.510000000000001,3,1,indicator > low
GOOGL,-0.09094163981382036,0.10003938558487604,2005-11-01,9.31,10.79,9.23,10.13,8458177356,8.463333333333333,3,0,indicator > low
