symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_3_months,moving_average_window_months,condition,screening_rule
GOOGL,0.0,0.0,2004-08-01,2.5,2.84,2.4,2.56,2672137188,2.5,3,1,indicator < close
GOOGL,-0.01361867704280144,0.013806706114398302,2004-09-01,2.57,3.38,2.48,3.24,4249913832,2.535,3,1,indicator < close
GOOGL,-0.11238532110091748,0.1266149870801034,2004-10-01,3.27,5.0,3.23,4.77,10272433284,2.9025,3,1,indicator < close
GOOGL,-0.20015495867768596,0.2502421698417824,2004-11-01,4.84,5.05,4.04,4.55,11092660236,3.87125,3,1,indicator < close
GOOGL,-0.07458791208791199,0.08059967344515351,2004-12-01,4.55,5.0,4.22,4.82,5807878308,4.210625,3,1,indicator < close
GOOGL,-0.07382338056680153,0.07970767024110365,2005-01-01,4.94,5.14,4.41,4.9,8198389404,4.575312500000001,3,1,indicator < close
GOOGL,-0.02928883744855953,0.030172556552843226,2005-02-01,4.86,5.43,4.53,4.7,13011367608,4.717656250000001,3,0,indicator < close
GOOGL,-0.0023569356540083563,0.0023625039237389514,2005-03-01,4.74,4.75,4.32,4.52,6871082040,4.728828125000001,3,0,indicator < close
GOOGL,0.019651442307692394,-0.019272705840749773,2005-04-01,4.55,5.62,4.5,5.51,9058576356,4.6394140625,3,1,indicator < close
GOOGL,-0.08278650517086318,0.09025870818253177,2005-05-01,5.56,6.97,5.51,6.94,10140601248,5.09970703125,3,1,indicator < close
GOOGL,-0.14035916563822282,0.16327652204007922,2005-06-01,7.09,7.74,6.69,7.36,15544507932,6.094853515625,3,1,indicator < close
GOOGL,-0.08706954501185636,0.09537368869240663,2005-07-01,7.38,7.95,7.18,7.2,8189766036,6.7374267578125,3,1,indicator < close
GOOGL,-0.03277206949982656,0.033882468099199176,2005-08-01,7.21,7.5,6.84,7.16,5713157124,6.97371337890625,3,1,indicator < close
GOOGL,-0.012327735740821672,0.012481605677231725,2005-09-01,7.15,8.03,7.13,7.92,6799321872,7.061856689453125,3,1,indicator < close
GOOGL,-0.050200210862858294,0.05285346600093831,2005-10-01,7.85,9.38,7.27,9.31,7710781500,7.455928344726562,3,1,indicator < close
GOOGL,-0.09957420275367562,0.11058568408212284,2005-11-01,9.31,10.79,9.23,10.13,8458177356,8.38296417236328,3,1,indicator < close
GOOGL,-0.09067557752132412,0.09971752135960091,2005-12-01,10.24,11.17,9.99,10.38,7943316732,9.311482086181641,3,1,indicator < close
GOOGL,-0.0595325408617956,0.06330101087851368,2006-01-01,10.57,11.89,9.88,10.83,11949642396,9.94074104309082,3,1,indicator < close
