symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_12_months,moving_average_window_months,condition,screening_rule
GOOGL,0.0,0.0,2004-08-01,2.5,2.84,2.4,2.56,2672137188,2.5,12,1,indicator < close
GOOGL,-0.023046991918587237,0.023590686274509793,2004-09-01,2.57,3.38,2.48,3.24,4249913832,2.5107692307692306,12,1,indicator < close
GOOGL,-0.19646056131588951,0.24449398729901373,2004-10-01,3.27,5.0,3.23,4.77,10272433284,2.6275739644970413,12,1,indicator < close
GOOGL,-0.3867877684445732,0.6307567731704848,2004-11-01,4.84,5.05,4.04,4.55,11092660236,2.9679472007282657,12,1,indicator < close
GOOGL,-0.2942110024004916,0.4168540504331269,2004-12-01,4.55,5.0,4.22,4.82,5807878308,3.2113399390777633,12,1,indicator < close
GOOGL,-0.2960956192797354,0.4206475018336409,2005-01-01,4.94,5.14,4.41,4.9,8198389404,3.4772876407581075,12,1,indicator < close
GOOGL,-0.24073814421748688,0.31706866660564226,2005-02-01,4.86,5.43,4.53,4.7,13011367608,3.690012619103014,12,1,indicator < close
GOOGL,-0.18743689045548276,0.23067364030413665,2005-03-01,4.74,4.75,4.32,4.52,6871082040,3.851549139241012,12,1,indicator < close
GOOGL,-0.12988942465509493,0.14927921615434656,2005-04-01,4.55,5.62,4.5,5.51,9058576356,3.959003117819318,12,1,indicator < close
GOOGL,-0.24364922113983808,0.32213785977324316,2005-05-01,5.56,6.97,5.51,6.94,10140601248,4.2053103304625,12,1,indicator < close
GOOGL,-0.3442723919378594,0.5250234818620512,2005-06-01,7.09,7.74,6.69,7.36,15544507932,4.6491087411605765,12,1,indicator < close
GOOGL,-0.3131103173570321,0.4558378517963282,2005-07-01,7.38,7.95,7.18,7.2,8189766036,5.069245857905103,12,1,indicator < close
GOOGL,-0.25123541622792994,0.33553325260427647,2005-08-01,7.21,7.5,6.84,7.16,5713157124,5.398592648996625,12,1,indicator < close
GOOGL,-0.20726714213057687,0.2614590023272599,2005-09-01,7.15,8.03,7.13,7.92,6799321872,5.668039933766376,12,1,indicator < close
GOOGL,-0.2351941276684945,0.30752134126730335,2005-10-01,7.85,9.38,7.27,9.31,7710781500,6.003726097802318,12,1,indicator < close
GOOGL,-0.3004958516415311,0.42958408802393344,2005-11-01,9.31,10.79,9.23,10.13,8458177356,6.512383621217346,12,1,indicator < close
GOOGL,-0.30802118514580223,0.44513094697950156,2005-12-01,10.24,11.17,9.99,10.38,7943316732,7.085863064106985,12,1,indicator < close
GOOGL,-0.2789135164458421,0.3867962065674943,2006-01-01,10.57,11.89,9.88,10.83,11949642396,7.621884131167449,12,1,indicator < close
GOOGL,-0.18400943419016,0.22550436475639585,2006-02-01,9.74,10.17,8.45,9.07,11889099000,7.947748110987842,12,1,indicator < close
GOOGL,-0.11675930901997125,0.132194214116672,2006-03-01,9.22,9.98,8.3,9.76,12258289440,8.143479170835866,12,1,indicator < close
GOOGL,-0.13942192600241007,0.16200961913282552,2006-04-01,9.75,11.28,9.71,10.46,7405167420,8.390636221476502,12,1,indicator < close
GOOGL,-0.16804791392078816,0.20199229827375897,2006-05-01,10.47,10.5,9.02,9.3,7030554408,8.710538341249348,12,1,indicator < close
GOOGL,-0.05786983337109973,0.06142445642959051,2006-06-01,9.35,10.49,9.3,10.49,5689528776,8.808917057980217,12,1,indicator < close
GOOGL,-0.13695317545354316,0.1586856837408723,2006-07-01,10.51,10.71,9.45,9.67,5095775124,9.070622125983261,12,1,indicator < close
GOOGL,-0.04997731099731995,0.052606439378606214,2006-08-01,9.64,9.76,9.09,9.47,4274601120,9.158218721985836,12,1,indicator < close
GOOGL,-0.03300988020143519,0.03413672955449796,2006-09-01,9.53,10.48,9.43,10.06,4857193944,9.215415841680322,12,1,indicator < close
GOOGL,-0.07103858190485128,0.076470971260052,2006-10-01,10.06,12.31,9.96,11.92,6334219440,9.345351866037197,12,1,indicator < close
GOOGL,-0.18608661534346246,0.22863196361120042,2006-11-01,11.98,12.84,11.64,12.13,4732874388,9.75068234818532,12,1,indicator < close
GOOGL,-0.1676524175731369,0.20142116239986582,2006-12-01,12.16,12.32,11.32,11.52,3662901432,10.121346602310656,12,1,indicator < close
GOOGL,-0.11165844685699158,0.12569314861151878,2007-01-01,11.66,12.84,11.54,12.55,4978500516,10.358062509647478,12,1,indicator < close
GOOGL,-0.15385412804640747,0.1818293194425059,2007-02-01,12.66,12.66,11.09,11.25,4552007436,10.712206738932482,12,1,indicator < close
GOOGL,-0.02808751646586168,0.02889922389280136,2007-03-01,11.08,11.66,10.94,11.47,4719931344,10.768790317558253,12,1,indicator < close
GOOGL,-0.051035753167265635,0.05378048049502677,2007-04-01,11.46,12.32,11.31,11.8,3714621660,10.875130268703137,12,1,indicator < close
GOOGL,-0.06764003022429708,0.07254711958576385,2007-05-01,11.82,12.73,11.45,12.46,3979284732,11.020494842748809,12,1,indicator < close
GOOGL,-0.10253071236512752,0.11424425746682626,2007-06-01,12.54,13.39,12.45,13.08,5156774064,11.2542648669413,12,1,indicator < close
GOOGL,-0.12198354175867625,0.13893081458064074,2007-07-01,13.15,13.98,12.48,12.76,4660566768,11.545916425873408,12,1,indicator < close
GOOGL,-0.08170771226310652,0.08897789228359194,2007-08-01,12.78,13.18,12.02,12.89,3544479972,11.735775437277498,12,1,indicator < close
GOOGL,-0.07576815772481671,0.08197960106881634,2007-09-01,12.89,14.31,12.78,14.2,2773775448,11.913348446927113,12,1,indicator < close
GOOGL,-0.13924461691553439,0.16177025395596087,2007-10-01,14.26,17.69,14.25,17.69,6211821960,12.27437176278448,12,1,indicator < close
GOOGL,-0.2557043364209154,0.3435520975512787,2007-11-01,17.59,18.7,15.42,17.34,6852148992,13.092160722356098,12,1,indicator < close
GOOGL,-0.20543770100139208,0.25855455419959716,2007-12-01,17.29,18.14,16.33,17.3,3409151436,13.73798214968593,12,1,indicator < close
GOOGL,-0.17577054544164125,0.2132543850132403,2008-01-01,17.34,17.45,12.99,14.12,6305264424,14.29213874204194,12,0,indicator < close
GOOGL,0.06793142719030948,-0.06361028944436507,2008-02-01,13.23,13.54,11.18,11.79,7080332580,14.128732781727795,12,0,indicator < close
GOOGL,0.1669886610104676,-0.14309364485673418,2008-03-01,11.8,11.83,10.31,11.02,5818795380,13.770466199923519,12,0,indicator < close
GOOGL,0.19419730906015598,-0.1626174398374679,2008-04-01,11.2,14.64,11.04,14.37,5716066212,13.375009861473746,12,1,indicator < close
GOOGL,-0.06403110692567533,0.06841157585414612,2008-05-01,14.47,15.08,13.46,14.66,4181126688,13.543469882785478,12,1,indicator < close
GOOGL,-0.06015527745784398,0.06400554901785466,2008-06-01,14.58,14.72,12.89,13.17,3747632616,13.702936054664635,12,0,indicator < close
GOOGL,0.045753234327283905,-0.04375146337148669,2008-07-01,13.0,13.91,11.65,11.86,4159276560,13.59479204625469,12,0,indicator < close
GOOGL,0.12705136345699336,-0.11272899139866172,2008-08-01,11.82,12.78,11.56,11.59,2749823424,13.321747116061662,12,0,indicator < close
GOOGL,0.09871183362356227,-0.08984324242509494,2008-09-01,11.93,12.07,9.53,10.02,5357776860,13.107632175129098,12,0,indicator < close
GOOGL,0.23169585053763986,-0.18811125363173364,2008-10-01,10.29,10.43,7.74,8.99,7963852176,12.674150302032313,12,0,indicator < close
GOOGL,0.35208984376755864,-0.2604041775703829,2008-11-01,8.95,9.32,6.19,7.33,6314998680,12.101204101719649,12,0,indicator < close
GOOGL,0.581946627174296,-0.36786742180662596,2008-12-01,7.17,8.25,6.57,7.7,4515775704,11.342557316839702,12,0,indicator < close
GOOGL,0.3970519179477555,-0.2842069881919762,2009-01-01,7.72,8.82,7.08,8.47,4390872732,10.785240806556672,12,0,indicator < close
GOOGL,0.24416550750963523,-0.19624841392554385,2009-02-01,8.37,9.53,8.25,8.46,4458948588,10.413665297855646,12,0,indicator < close
GOOGL,0.21038847331130883,-0.17381896634866373,2009-03-01,8.34,8.99,7.24,8.71,4554452988,10.094639867416316,12,0,indicator < close
GOOGL,0.14705758981734768,-0.12820419055050625,2009-04-01,8.6,10.1,8.52,9.91,3509802684,9.86469527242919,12,1,indicator < close
GOOGL,-0.002164984080881444,0.00216968140658729,2009-05-01,9.89,10.44,9.63,10.44,2279130588,9.868588307440083,12,1,indicator < close
GOOGL,-0.049365301072805984,0.05192878098023929,2009-06-01,10.48,11.19,10.06,10.55,2815621560,9.962651644756994,12,1,indicator < close
GOOGL,-0.052374561115986255,0.05526926459220639,2009-07-01,10.62,11.33,9.91,11.09,2917767312,10.063782160948225,12,1,indicator < close
GOOGL,-0.08787174621254555,0.09633705111937205,2009-08-01,11.23,11.87,10.97,11.55,1947594456,10.243200290033114,12,1,indicator < close
GOOGL,-0.09247355725508856,0.10189626759016776,2009-09-01,11.5,12.69,11.33,12.41,2041140816,10.436554091566482,12,1,indicator < close
GOOGL,-0.1305192930605205,0.15011177593570843,2009-10-01,12.34,14.06,12.08,13.42,3083893020,10.729391923633177,12,1,indicator < close
GOOGL,-0.17065412568701382,0.2057695479927242,2009-11-01,13.44,14.69,13.22,14.59,1634611752,11.146408550766534,12,1,indicator < close
GOOGL,-0.20542174927658927,0.25852928781975393,2009-12-01,14.72,15.67,14.49,15.52,1703107188,11.696191850648606,12,1,indicator < close
GOOGL,-0.21538407433870335,0.2745089250605913,2010-01-01,15.69,15.75,13.15,13.26,3560455980,12.310623873625744,12,1,indicator < close
GOOGL,-0.06762755772172482,0.07253277194301797,2010-02-01,13.38,13.7,13.01,13.18,2079290628,12.475143277683323,12,1,indicator < close
GOOGL,-0.04888115236743818,0.051393316922599824,2010-03-01,13.24,14.72,13.21,14.19,3347637012,12.592813542655119,12,1,indicator < close
GOOGL,-0.10101695013875037,0.11236802535302692,2010-04-01,14.3,14.96,13.04,13.16,2919517560,12.85545761301587,12,1,indicator < close
