symbol,date,open,high,low,close,volume,moving_average_window_months,Moving_Average,condition
500.PA,2010-06-01,13.89,0.0,0.0,13.16,0,7,,0
500.PA,2010-07-01,12.9,0.0,0.0,13.23,0,7,,0
500.PA,2010-08-01,13.36,0.0,0.0,12.94,0,7,,0
500.PA,2010-09-01,13.21,0.0,0.0,13.11,0,7,,0
500.PA,2010-10-01,13.08,0.0,0.0,13.36,0,7,,0
500.PA,2010-11-01,13.39,0.0,0.0,14.26,0,7,,0
500.PA,2010-12-01,14.52,0.0,0.0,14.75,0,7,13.478571428571428,0
500.PA,2011-01-01,14.98,0.0,0.0,14.77,0,7,13.634285714285713,0
500.PA,2011-02-01,14.93,0.0,0.0,15.15,0,7,13.924285714285714,0
500.PA,2011-03-01,14.9,0.0,0.0,14.75,0,7,14.144285714285713,0
500.PA,2011-04-01,14.87,0.0,0.0,14.52,0,7,14.381428571428572,0
500.PA,2011-05-01,14.44,0.0,0.0,14.8,0,7,14.575714285714286,1
500.PA,2011-06-01,14.42,0.0,0.0,14.42,0,7,14.722857142857142,1
500.PA,2011-07-01,14.65,0.0,0.0,14.25,0,7,14.741428571428571,1
500.PA,2011-08-01,14.36,0.0,0.0,13.44,0,7,14.652857142857144,1
500.PA,2011-09-01,13.42,0.0,0.0,13.4,0,7,14.437142857142858,1
500.PA,2011-10-01,13.16,0.0,0.0,14.29,0,7,14.18857142857143,1
500.PA,2011-11-01,14.17,0.0,0.0,14.77,0,7,14.088571428571429,0
500.PA,2011-12-01,14.73,0.0,0.0,15.46,0,7,14.129999999999999,0
500.PA,2012-01-01,15.46,0.0,0.0,16.01,0,7,14.278571428571428,0
500.PA,2012-02-01,16.03,0.0,0.0,16.33,0,7,14.475714285714286,0
500.PA,2012-03-01,16.49,0.0,0.0,16.94,0,7,14.78,0
500.PA,2012-04-01,17.09,0.0,0.0,16.93,0,7,15.304285714285713,0
500.PA,2012-05-01,17.09,0.0,0.0,17.02,0,7,15.865714285714287,0
500.PA,2012-06-01,16.6,0.0,0.0,17.26,0,7,16.212857142857143,0
500.PA,2012-07-01,17.45,0.0,0.0,18.02,0,7,16.601428571428574,0
500.PA,2012-08-01,18.0,0.0,0.0,17.99,0,7,16.964285714285715,0
500.PA,2012-09-01,18.02,0.0,0.0,18.07,0,7,17.248571428571427,0
500.PA,2012-10-01,18.06,0.0,0.0,17.6,0,7,17.472857142857144,0
500.PA,2012-11-01,17.83,0.0,0.0,17.64,0,7,17.57857142857143,0
500.PA,2012-12-01,17.47,0.0,0.0,17.56,0,7,17.63285714285714,1
500.PA,2013-01-01,17.93,0.0,0.0,17.93,0,7,17.822857142857142,0
500.PA,2013-02-01,17.95,0.0,0.0,18.85,0,7,17.89428571428571,0
500.PA,2013-03-01,19.02,0.0,0.0,19.9,0,7,18.04,0
500.PA,2013-04-01,19.92,0.0,0.0,19.75,0,7,18.31142857142857,0
500.PA,2013-05-01,19.56,0.0,0.0,20.55,0,7,18.525714285714287,0
500.PA,2013-06-01,20.57,0.0,0.0,20.21,0,7,18.917142857142856,0
500.PA,2013-07-01,20.26,0.0,0.0,20.78,0,7,19.315714285714286,0
500.PA,2013-08-01,21.12,0.0,0.0,20.31,0,7,19.771428571428572,0
500.PA,2013-09-01,20.31,0.0,0.0,20.4,0,7,20.108571428571427,0
500.PA,2013-10-01,20.58,0.0,0.0,21.23,0,7,20.33142857142857,0
500.PA,2013-11-01,21.47,0.0,0.0,21.84,0,7,20.552857142857142,0
500.PA,2013-12-01,21.87,0.0,0.0,22.11,0,7,20.882857142857144,0
500.PA,2014-01-01,22.11,0.0,0.0,21.81,0,7,21.102857142857143,0
500.PA,2014-02-01,21.26,0.0,0.0,22.26,0,7,21.245714285714286,0
500.PA,2014-03-01,22.15,0.0,0.0,22.48,0,7,21.392857142857142,0
500.PA,2014-04-01,22.62,0.0,0.0,22.51,0,7,21.722857142857144,0
500.PA,2014-05-01,22.5,0.0,0.0,23.39,0,7,21.997142857142858,0
500.PA,2014-06-01,23.47,0.0,0.0,23.78,0,7,22.282857142857143,0
500.PA,2014-07-01,23.97,0.0,0.0,24.0,0,7,22.582857142857144,0
500.PA,2014-08-01,23.84,0.0,0.0,25.33,0,7,22.830000000000002,0
500.PA,2014-09-01,25.4,0.0,0.0,26.04,0,7,23.42142857142857,0
500.PA,2014-10-01,25.77,0.0,0.0,26.89,0,7,23.93857142857143,0
500.PA,2014-11-01,26.98,0.0,0.0,27.73,0,7,24.56142857142857,0
500.PA,2014-12-01,27.52,0.0,0.0,28.49,0,7,25.27857142857143,0
500.PA,2015-01-01,28.65,0.0,0.0,29.62,0,7,26.018571428571427,0
500.PA,2015-02-01,29.85,0.0,0.0,31.5,0,7,26.858571428571427,0
500.PA,2015-03-01,31.75,0.0,0.0,32.36,0,7,27.988571428571426,0
500.PA,2015-04-01,32.18,0.0,0.0,31.31,0,7,28.957142857142856,0
500.PA,2015-05-01,31.87,0.0,0.0,32.39,0,7,29.82857142857143,0
500.PA,2015-06-01,32.65,0.0,0.0,31.24,0,7,30.638571428571424,0
500.PA,2015-07-01,31.57,0.0,0.0,32.15,0,7,31.217142857142857,0
500.PA,2015-08-01,32.29,0.0,0.0,29.77,0,7,31.737142857142857,0
500.PA,2015-09-01,28.76,0.0,0.0,29.13,0,7,31.58142857142857,1
500.PA,2015-10-01,29.08,0.0,0.0,31.91,0,7,31.2,1
500.PA,2015-11-01,32.33,0.0,0.0,33.46,0,7,31.22142857142857,0
500.PA,2015-12-01,33.67,0.0,0.0,32.0,0,7,31.478571428571428,0
