symbol,date,open,high,low,close,volume,Moving_Average,condition
GOOGL,2004-08-01,2.5,2.84,2.4,2.56,2672137188,,0
GOOGL,2004-09-01,2.57,3.38,2.48,3.24,4249913832,,0
GOOGL,2004-10-01,3.27,5.0,3.23,4.77,10272433284,,0
GOOGL,2004-11-01,4.84,5.05,4.04,4.55,11092660236,,0
GOOGL,2004-12-01,4.55,5.0,4.22,4.82,5807878308,,0
GOOGL,2005-01-01,4.94,5.14,4.41,4.9,8198389404,,0
GOOGL,2005-02-01,4.86,5.43,4.53,4.7,13011367608,,0
GOOGL,2005-03-01,4.74,4.75,4.32,4.52,6871082040,,0
GOOGL,2005-04-01,4.55,5.62,4.5,5.51,9058576356,,0
GOOGL,2005-05-01,5.56,6.97,5.51,6.94,10140601248,,0
GOOGL,2005-06-01,7.09,7.74,6.69,7.36,15544507932,,0
GOOGL,2005-07-01,7.38,7.95,7.18,7.2,8189766036,4.7375,0
GOOGL,2005-08-01,7.21,7.5,6.84,7.16,5713157124,5.13,0
GOOGL,2005-09-01,7.15,8.03,7.13,7.92,6799321872,5.511666666666667,0
GOOGL,2005-10-01,7.85,9.38,7.27,9.31,7710781500,5.8933333333333335,0
GOOGL,2005-11-01,9.31,10.79,9.23,10.13,8458177356,6.265833333333333,0
GOOGL,2005-12-01,10.24,11.17,9.99,10.38,7943316732,6.740000000000001,0
GOOGL,2006-01-01,10.57,11.89,9.88,10.83,11949642396,7.209166666666667,0
GOOGL,2006-02-01,9.74,10.17,8.45,9.07,11889099000,7.615833333333335,0
GOOGL,2006-03-01,9.22,9.98,8.3,9.76,12258289440,7.989166666666667,0
GOOGL,2006-04-01,9.75,11.28,9.71,10.46,7405167420,8.422500000000001,0
GOOGL,2006-05-01,10.47,10.5,9.02,9.3,7030554408,8.831666666666667,0
GOOGL,2006-06-01,9.35,10.49,9.3,10.49,5689528776,9.02,0
GOOGL,2006-07-01,10.51,10.71,9.45,9.67,5095775124,9.280833333333334,0
GOOGL,2006-08-01,9.64,9.76,9.09,9.47,4274601120,9.483333333333334,0
GOOGL,2006-09-01,9.53,10.48,9.43,10.06,4857193944,9.681666666666667,1
GOOGL,2006-10-01,10.06,12.31,9.96,11.92,6334219440,9.865833333333335,0
GOOGL,2006-11-01,11.98,12.84,11.64,12.13,4732874388,10.088333333333333,0
GOOGL,2006-12-01,12.16,12.32,11.32,11.52,3662901432,10.248333333333333,0
GOOGL,2007-01-01,11.66,12.84,11.54,12.55,4978500516,10.339166666666667,0
GOOGL,2007-02-01,12.66,12.66,11.09,11.25,4552007436,10.582500000000001,0
GOOGL,2007-03-01,11.08,11.66,10.94,11.47,4719931344,10.737499999999999,0
GOOGL,2007-04-01,11.46,12.32,11.31,11.8,3714621660,10.88,0
GOOGL,2007-05-01,11.82,12.73,11.45,12.46,3979284732,10.9925,0
GOOGL,2007-06-01,12.54,13.39,12.45,13.08,5156774064,11.258333333333333,0
GOOGL,2007-07-01,13.15,13.98,12.48,12.76,4660566768,11.478333333333333,0
GOOGL,2007-08-01,12.78,13.18,12.02,12.89,3544479972,11.740000000000002,0
GOOGL,2007-09-01,12.89,14.31,12.78,14.2,2773775448,12.020000000000001,0
GOOGL,2007-10-01,14.26,17.69,14.25,17.69,6211821960,12.37,0
GOOGL,2007-11-01,17.59,18.7,15.42,17.34,6852148992,12.837499999999999,0
GOOGL,2007-12-01,17.29,18.14,16.33,17.3,3409151436,13.265,0
GOOGL,2008-01-01,17.34,17.45,12.99,14.12,6305264424,13.738333333333332,0
GOOGL,2008-02-01,13.23,13.54,11.18,11.79,7080332580,13.785833333333334,1
GOOGL,2008-03-01,11.8,11.83,10.31,11.02,5818795380,13.845833333333331,1
GOOGL,2008-04-01,11.2,14.64,11.04,14.37,5716066212,13.824166666666668,1
GOOGL,2008-05-01,14.47,15.08,13.46,14.66,4181126688,14.045,0
GOOGL,2008-06-01,14.58,14.72,12.89,13.17,3747632616,14.214999999999998,0
GOOGL,2008-07-01,13.0,13.91,11.65,11.86,4159276560,14.202499999999999,1
GOOGL,2008-08-01,11.82,12.78,11.56,11.59,2749823424,14.1225,1
GOOGL,2008-09-01,11.93,12.07,9.53,10.02,5357776860,14.042499999999999,1
GOOGL,2008-10-01,10.29,10.43,7.74,8.99,7963852176,13.711666666666668,1
GOOGL,2008-11-01,8.95,9.32,6.19,7.33,6314998680,12.991666666666667,1
GOOGL,2008-12-01,7.17,8.25,6.57,7.7,4515775704,12.148333333333333,1
GOOGL,2009-01-01,7.72,8.82,7.08,8.47,4390872732,11.346666666666666,1
GOOGL,2009-02-01,8.37,9.53,8.25,8.46,4458948588,10.941666666666665,1
GOOGL,2009-03-01,8.34,8.99,7.24,8.71,4554452988,10.653333333333332,1
GOOGL,2009-04-01,8.6,10.1,8.52,9.91,3509802684,10.436666666666666,1
GOOGL,2009-05-01,9.89,10.44,9.63,10.44,2279130588,10.055,1
GOOGL,2009-06-01,10.48,11.19,10.06,10.55,2815621560,9.713333333333333,0
GOOGL,2009-07-01,10.62,11.33,9.91,11.09,2917767312,9.514999999999999,0
GOOGL,2009-08-01,11.23,11.87,10.97,11.55,1947594456,9.465833333333334,0
GOOGL,2009-09-01,11.5,12.69,11.33,12.41,2041140816,9.43,0
GOOGL,2009-10-01,12.34,14.06,12.08,13.42,3083893020,9.600833333333334,0
GOOGL,2009-11-01,13.44,14.69,13.22,14.59,1634611752,9.975,0
GOOGL,2009-12-01,14.72,15.67,14.49,15.52,1703107188,10.604166666666666,0
GOOGL,2010-01-01,15.69,15.75,13.15,13.26,3560455980,11.268333333333333,0
GOOGL,2010-02-01,13.38,13.7,13.01,13.18,2079290628,11.685833333333333,0
GOOGL,2010-03-01,13.24,14.72,13.21,14.19,3347637012,12.094166666666666,0
GOOGL,2010-04-01,14.3,14.96,13.04,13.16,2919517560,12.569166666666666,0
GOOGL,2010-05-01,13.18,13.34,11.51,12.15,3259185552,12.843333333333334,0
GOOGL,2010-06-01,12.02,12.74,11.13,11.13,2392133472,12.971666666666666,1
GOOGL,2010-07-01,11.14,12.45,10.85,12.13,2769627600,13.015,1
GOOGL,2010-08-01,12.24,12.73,11.2,11.26,2112093792,13.099166666666667,1
GOOGL,2010-09-01,11.39,13.43,11.32,13.16,2385651960,13.089999999999998,1
GOOGL,2010-10-01,13.26,15.63,12.98,15.36,3170742084,13.166666666666666,0
GOOGL,2010-11-01,15.41,15.79,13.85,13.91,2335338324,13.330833333333333,0
GOOGL,2010-12-01,14.09,15.19,14.07,14.86,1689716592,13.278333333333334,0
GOOGL,2011-01-01,14.93,16.09,14.9,15.02,2396976624,13.215000000000002,0
GOOGL,2011-02-01,15.13,15.8,15.05,15.35,1673085240,13.360833333333334,0
GOOGL,2011-03-01,15.46,15.5,13.8,14.68,2403154440,13.545833333333334,0
GOOGL,2011-04-01,14.73,14.89,12.99,13.62,2806858332,13.581666666666669,0
GOOGL,2011-05-01,13.66,13.66,12.85,13.24,1811302884,13.621666666666668,0
GOOGL,2011-06-01,13.21,13.34,11.84,12.67,2362638996,13.720833333333333,1
GOOGL,2011-07-01,12.68,15.7,12.67,15.11,3238977780,13.849166666666667,1
GOOGL,2011-08-01,15.3,15.4,12.28,13.54,4266752976,14.104166666666666,0
GOOGL,2011-09-01,13.53,13.98,12.78,12.89,2342842812,14.2825,1
GOOGL,2011-10-01,12.76,15.08,12.03,14.83,3085531380,14.240833333333333,1
GOOGL,2011-11-01,14.52,15.47,14.05,15.0,2409607980,14.166666666666666,0
GOOGL,2011-12-01,15.02,16.19,14.99,16.16,2199698100,14.244166666666667,0
GOOGL,2012-01-01,16.34,16.77,14.13,14.52,2942758296,14.361666666666665,0
GOOGL,2012-02-01,14.64,15.66,14.49,15.47,1892689416,14.320833333333333,0
GOOGL,2012-03-01,15.57,16.48,14.86,16.05,1891314792,14.329999999999998,0
GOOGL,2012-04-01,16.04,16.34,14.77,15.14,2352752892,14.439166666666665,0
GOOGL,2012-05-01,15.11,15.96,14.49,14.54,2344585068,14.56,0
GOOGL,2012-06-01,14.31,14.71,13.93,14.52,1858311828,14.651666666666666,1
GOOGL,2012-07-01,14.56,16.08,14.07,15.84,2049412536,14.808333333333332,1
GOOGL,2012-08-01,15.95,17.24,15.6,17.14,1880649468,14.862499999999999,0
GOOGL,2012-09-01,17.13,19.14,16.85,18.88,2404696896,15.1625,0
GOOGL,2012-10-01,19.0,19.38,16.76,17.02,2869080048,15.6825,0
GOOGL,2012-11-01,17.0,17.5,15.92,17.48,1865300832,15.889166666666666,0
GOOGL,2012-12-01,17.57,18.25,17.08,17.7,1666152180,16.101666666666667,0
GOOGL,2013-01-01,18.0,19.04,17.41,18.91,2094111792,16.24,0
GOOGL,2013-02-01,18.97,20.24,18.97,20.05,1851762384,16.600833333333334,0
